Season,Pick,Projected FFP,Pos,Player,Team
2023,17,416,QB,Patrick Mahomes,KC
2023,24,421,QB,Josh Allen,BUF
2023,25,398,QB,Jalen Hurts,PHI
2023,29,362,QB,Lamar Jackson,BAL
2023,35,340,QB,Justin Herbert,LAC
2023,46,350,QB,Joe Burrow,CIN
2023,62,357,QB,Justin Fields,CHI
2023,64,343,QB,Trevor Lawrence,JAX
2023,83,336,QB,Deshaun Watson,CLE
2023,87,314,QB,Tua Tagovailoa,MIA
2023,115,317,QB,Anthony Richardson,IND
2023,117,306,QB,Dak Prescott,DAL
2023,121,314,QB,Kirk Cousins,MIN
2023,125,286,QB,Jared Goff,DET
2023,128,297,QB,Russell Wilson,DEN
2023,129,314,QB,Daniel Jones,NYG
2023,137,308,QB,Geno Smith,SEA
2023,149,284,QB,Jordan Love,GB
2023,155,261,QB,Brock Purdy,SF
2023,169,294,QB,Bryce Young,CAR
2023,178,264,QB,Kenny Pickett,PIT
2023,181,68,QB,Kyler Murray,ARI
2023,2,300,RB,Christian McCaffrey,SF
2023,3,273,RB,Austin Ekeler,LAC
2023,4,265,RB,Nick Chubb,CLE
2023,8,254,RB,Bijan Robinson,ATL
2023,10,257,RB,Saquon Barkley,NYG
2023,11,258,RB,Derrick Henry,TEN
2023,15,228,RB,Josh Jacobs,LV
2023,19,255,RB,Tony Pollard,DAL
2023,21,216,RB,Najee Harris,PIT
2023,22,190,RB,Travis Etienne,JAX
2023,23,219,RB,Joe Mixon,CIN
2023,28,133,RB,Jonathan Taylor,IND
2023,30,218,RB,Jahmyr Gibbs,DET
2023,33,220,RB,Rhamondre Stevenson,NE
2023,34,168,RB,Kenneth Walker,SEA
2023,37,218,RB,Dameon Pierce,HOU
2023,40,184,RB,Breece Hall,NYJ
2023,43,204,RB,Aaron Jones,GB
2023,44,196,RB,J.K. Dobbins,BAL
2023,49,192,RB,Alexander Mattison,MIN
2023,50,186,RB,James Conner,ARI
2023,56,198,RB,Miles Sanders,CAR
2023,59,198,RB,Cam Akers,LAR
2023,61,159,RB,D'Andre Swift,PHI
2023,65,182,RB,James Cook,BUF
2023,66,189,RB,Javonte Williams,DEN
2023,68,160,RB,Dalvin Cook,NYJ
2023,69,169,RB,Isiah Pacheco,KC
2023,72,181,RB,Alvin Kamara,NO
2023,74,192,RB,David Montgomery,DET
2023,76,207,RB,Rachaad White,TB
2023,78,168,RB,AJ Dillon,GB
2023,81,194,RB,Khalil Herbert,CHI
2023,88,186,RB,Samaje Perine,DEN
2023,93,155,RB,Antonio Gibson,WAS
2023,96,154,RB,Zach Charbonnet,SEA
2023,97,116,RB,Rashaad Penny,PHI
2023,100,132,RB,Jamaal Williams,NO
2023,102,173,RB,Brian Robinson,WAS
2023,107,128,RB,Jerick McKinnon,KC
2023,110,148,RB,Raheem Mostert,MIA
2023,112,105,RB,Elijah Mitchell,SF
2023,114,105,RB,Damien Harris,BUF
2023,116,94,RB,Tyjae Spears,TEN
2023,119,74,RB,Tyler Allgeier,ATL
2023,122,125,RB,De'Von Achane,MIA
2023,126,129,RB,Ezekiel Elliott,NE
2023,131,125,RB,Jaylen Warren,PIT
2023,140,110,RB,Tank Bigsby,JAX
2023,145,28,RB,D'Onta Foreman,CHI
2023,148,122,RB,Deuce Vaughn,DAL
2023,150,49,RB,Kendre Miller,NO
2023,157,101,RB,Kenneth Gainwell,PHI
2023,163,84,RB,Devin Singletary,HOU
2023,183,113,RB,Roschon Johnson,CHI
2023,186,99,RB,Jeff Wilson,MIA
2023,5,225,TE,Travis Kelce,KC
2023,27,182,TE,Mark Andrews,BAL
2023,45,161,TE,George Kittle,SF
2023,48,182,TE,Darren Waller,NYG
2023,53,174,TE,T.J. Hockenson,MIN
2023,54,139,TE,Kyle Pitts,ATL
2023,57,141,TE,Dallas Goedert,PHI
2023,79,132,TE,Evan Engram,JAX
2023,91,133,TE,David Njoku,CLE
2023,94,121,TE,Pat Freiermuth,PIT
2023,98,108,TE,Dalton Schultz,HOU
2023,120,111,TE,Dalton Kincaid,BUF
2023,123,112,TE,Cole Kmet,CHI
2023,124,119,TE,Chigoziem Okonkwo,TEN
2023,127,138,TE,Tyler Higbee,LAR
2023,132,100,TE,Sam LaPorta,DET
2023,146,98,TE,Luke Musgrave,GB
2023,156,89,TE,Gerald Everett,LAC
2023,167,93,TE,Michael Mayer,LV
2023,190,87,TE,Greg Dulcich,DEN
2023,192,98,TE,Juwan Johnson,NO
2023,196,72,TE,Taysom Hill,NO
2023,1,277,WR,Justin Jefferson,MIN
2023,6,252,WR,Ja'Marr Chase,CIN
2023,7,266,WR,Tyreek Hill,MIA
2023,9,236,WR,Amon-Ra St. Brown,DET
2023,12,259,WR,Cooper Kupp,LAR
2023,13,231,WR,Stefon Diggs,BUF
2023,14,207,WR,A.J. Brown,PHI
2023,16,217,WR,CeeDee Lamb,DAL
2023,18,255,WR,Davante Adams,LV
2023,20,208,WR,Garrett Wilson,NYJ
2023,26,214,WR,Jaylen Waddle,MIA
2023,31,192,WR,Chris Olave,NO
2023,32,189,WR,DeVonta Smith,PHI
2023,36,206,WR,Tee Higgins,CIN
2023,38,206,WR,Calvin Ridley,JAX
2023,39,188,WR,DK Metcalf,SEA
2023,41,188,WR,Deebo Samuel,SF
2023,42,188,WR,Keenan Allen,LAC
2023,47,184,WR,Amari Cooper,CLE
2023,51,189,WR,DeAndre Hopkins,TEN
2023,52,183,WR,DJ Moore,CHI
2023,55,185,WR,Terry McLaurin,WAS
2023,58,171,WR,Jerry Jeudy,DEN
2023,60,195,WR,Christian Watson,GB
2023,63,162,WR,Chris Godwin,TB
2023,67,180,WR,Tyler Lockett,SEA
2023,70,166,WR,Brandon Aiyuk,SF
2023,71,165,WR,Drake London,ATL
2023,73,185,WR,Mike Williams,LAC
2023,75,145,WR,Diontae Johnson,PIT
2023,77,172,WR,Christian Kirk,JAX
2023,80,169,WR,George Pickens,PIT
2023,82,147,WR,Michael Pittman,IND
2023,84,162,WR,Mike Evans,TB
2023,86,153,WR,Jaxon Smith-Njigba,SEA
2023,89,177,WR,Jordan Addison,MIN
2023,90,192,WR,Jahan Dotson,WAS
2023,92,130,WR,Zay Flowers,BAL
2023,95,176,WR,Gabe Davis,BUF
2023,101,152,WR,Brandin Cooks,DAL
2023,103,162,WR,Michael Thomas,NO
2023,104,146,WR,Quentin Johnston,LAC
2023,105,133,WR,JuJu Smith-Schuster,NE
2023,106,145,WR,Jakobi Meyers,LV
2023,108,147,WR,Treylon Burks,TEN
2023,109,153,WR,Courtland Sutton,DEN
2023,111,116,WR,Kadarius Toney,KC
2023,113,119,WR,Elijah Moore,CLE
2023,118,169,WR,Skyy Moore,KC
2023,130,147,WR,Adam Thielen,CAR
2023,134,137,WR,Odell Beckham,BAL
2023,138,97,WR,Jameson Williams,DET
2023,142,163,WR,Allen Lazard,NYJ
2023,151,96,WR,Darnell Mooney,CHI
2023,153,139,WR,Tyler Boyd,CIN
2023,160,129,WR,Marvin Mims,DEN
