Season,Pos,Player,Team,GP,P Yds,P Comp,P TD,INT,Ru Yds,Ru TD,Rec,Rec Yds,Rec TD,Actual FFP,Projected FFP,Diff Perc,Top Prospect,Bottom Prospect,Pos Tier,Pos Prospect Mean Diff,Pos Prospect SD
2023,QB,Desmond Ridder,ARI,15,2836,249,12,12,193,5,,,,199,211,-6%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Baker Mayfield,TB,17,4044,364,28,10,163,1,,,,286,198,45%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Joshua Dobbs,SF,5,895,95,5,5,163,3,,,,85,121,-30%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Clayton Tune,ARI,7,62,12,,2,30,1,,,,9,99,-90%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Kyler Murray,ARI,8,1799,176,10,5,244,3,,,,149,68,120%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Taylor Heinicke,ATL,5,890,74,5,4,124,1,,,,70,36,95%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Tyrod Taylor,NYJ,11,1341,116,5,3,197,,,,,90,24,277%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Brian Hoyer,LV,3,231,23,,2,-3,,,,,7,23,-70%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Malik Willis,TEN,3,74,4,,,21,,,,,5,21,-76%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Jacoby Brissett,NE,3,224,18,3,,19,,,,,23,14,60%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Andy Dalton,CAR,3,361,34,2,,12,,,,,24,14,71%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Gardner Minshew,LV,17,3305,305,15,9,100,3,,,,211,13,1481%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Jake Browning,CIN,9,1936,171,12,7,127,3,,,,149,13,1027%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Sam Darnold,MIN,10,297,28,2,1,15,1,,,,26,13,110%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Drew Lock,NYG,4,543,48,3,3,14,,,,,32,11,182%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Will Levis,TEN,9,1808,149,8,4,57,1,,,,112,11,909%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Marcus Mariota,WAS,3,164,15,1,1,52,,,,,15,9,68%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Nick Mullens,MIN,5,1306,100,7,8,25,,,,,75,8,848%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Jameis Winston,CLE,7,264,25,2,3,-6,,,,,15,8,91%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Tyler Huntley,CLE,5,203,21,3,,55,,,,,26,8,236%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Mike White,MIA,6,74,5,1,1,-9,,,,,5,7,-30%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Dorian Thompson-Robinson,CLE,8,440,60,1,4,65,,,,,24,7,259%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Tyson Bagent,CHI,5,859,94,3,6,109,2,,,,63,7,846%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Davis Mills,HOU,6,173,18,2,,9,,,,,16,6,163%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Jarrett Stidham,DEN,3,496,40,2,1,8,,,,,28,3,801%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Zach Wilson,DEN,12,2271,221,8,7,211,,,,,137,3,4722%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Blaine Gabbert,KC,2,185,18,,3,45,,,,,9,3,226%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Easton Stick,LAC,5,1129,111,3,1,144,1,,,,77,3,2864%,FALSE,TRUE,QB3,532%,1003%
2023,QB,C.J. Beathard,JAC,7,349,40,1,,35,,,,,21,2,800%,FALSE,TRUE,QB3,532%,1003%
2023,QB,Sean Clifford,GB,2,37,1,,,-2,,,,,1,2,-42%,FALSE,TRUE,QB3,532%,1003%
2023,TE,Mike Gesicki,CIN,17,,,,,,,29,244,2,51,84,-40%,FALSE,TRUE,TE3,30%,122%
2023,TE,Hayden Hurst,LAC,9,,,,,,,18,184,1,33,84,-60%,FALSE,TRUE,TE3,30%,122%
2023,TE,Cade Otton,TB,17,,,,,,,47,455,4,93,82,13%,FALSE,TRUE,TE3,30%,122%
2023,TE,Tyler Conklin,NYJ,17,,,,,,,61,621,,93,81,15%,FALSE,TRUE,TE3,30%,122%
2023,TE,Austin Hooper,NE,17,,,,,,,25,234,,36,75,-52%,FALSE,TRUE,TE3,30%,122%
2023,TE,Taysom Hill,NO,16,83,6,1,,401,4,,,,71,72,-1%,FALSE,TRUE,TE3,30%,122%
2023,TE,Logan Thomas,WAS,16,,,,,,,55,496,4,101,67,51%,FALSE,TRUE,TE3,30%,122%
2023,TE,Adam Trautman,DEN,17,,,,,,,22,204,3,49,66,-26%,FALSE,TRUE,TE3,30%,122%
2023,TE,Kylen Granson,IND,15,,,,,,,30,368,1,58,58,0%,FALSE,TRUE,TE3,30%,122%
2023,TE,Mo Alie-Cox,IND,17,,,,,,,13,161,3,41,55,-26%,FALSE,TRUE,TE3,30%,122%
